,id,text,author_id,created_at,geo
0,1507371139307294720,"Bitcoin and Gold have gone up a bit, #xrp has skyrocketed! https://t.co/SyA7ispHDK",1006614023100657664,2022-03-25 14:57:39+00:00,
1,1507371139261157378,"RT @Lion54770549: We are @SpyWolfNetwork and we are here to clean up the crypto space and to make you $$$
 
https://t.co/X7pGtrz7gX is our…",1457814644354072589,2022-03-25 14:57:39+00:00,
2,1507371139244638211,"RT @airdropinspect: New airdrop: Moon Stone Games (MSG)
Total Reward: $5000 worth of MSG
Rate: ⭐️⭐️⭐️⭐️
Winners: 1000 Random &amp; Top 100
Dist…",1426262034946039808,2022-03-25 14:57:39+00:00,
3,1507371138988576769,RT @maxkeiser: #Bitcoin has a divide and conquer strategy. Globalization and dollarization are breaking apart to make room for the new glob…,991645923787902976,2022-03-25 14:57:39+00:00,
4,1507371137705119745,"RT @Lion54770549: We are @SpyWolfNetwork and we are here to clean up the crypto space and to make you $$$
 
https://t.co/X7pGtrz7gX is our…",1477512307601293318,2022-03-25 14:57:39+00:00,
5,1507371137080205316,"@SharksCoins Listing Baby Bitcoin
#NextKingBBTC
#MemeKingBBTC
#BBTC 🚀
#BabyBitcoin 
#NextKingBBTC
#BBTC 
#BabyBitCoinNFT
@BabyBitcoinBSC https://t.co/aISJAu5L3F",1497220104072871962,2022-03-25 14:57:39+00:00,
6,1507371135561777155,Come in now and don't BE LATE #xrp #bitcoin #cryptocurrency #binance https://t.co/12qUyZsSU1,1063934807728693248,2022-03-25 14:57:38+00:00,
7,1507371135557586944,The strongest bullish signal has broken out for #XRP and the #bitcoin #btc #ethereum #eth https://t.co/R9DO7Zz7tj,1054114041608724480,2022-03-25 14:57:38+00:00,
8,1507371134957899787,Come in now and don't BE LATE #xrp #bitcoin #cryptocurrency #binance https://t.co/JjGdLEMnPk,74666213,2022-03-25 14:57:38+00:00,
9,1507371134722867201,"RT @DeerNetwork: Cryptos Rise as Russia Mulls Bitcoin for Oil Payments; #Dogecoin Rallies ...

Russia's Duma committee chairman suggested d…",1503574075176001536,2022-03-25 14:57:38+00:00,
10,1507371134706020354,"#Israel #Banks Top Israeli bank to accept BTC and ETH trading through Paxos' collaboration: Pepper Invest users can now buy, sell and hold Bitcoin and Ethereum, subject to regulatory approval. https://t.co/9yrt59zQot https://t.co/lr9uCExwRY",1293449003716055040,2022-03-25 14:57:38+00:00,
11,1507371134630895620,"RT @AirdropStario: 💧 ShinobiVerse Airdrop 💧

🏆 Task:      ➕ $2000 worth of SHINO between all eligible participants.

👨‍👩‍👧 Referral: ➕ $20…",1481451818681249794,2022-03-25 14:57:38+00:00,
12,1507371133875601411,Come in now and don't BE LATE #xrp #bitcoin #cryptocurrency #binance https://t.co/jEugoQpH6l,1385470699029114884,2022-03-25 14:57:38+00:00,
13,1507371133380800513,We just know that #XRP will Go to the moon #crypto #ripple #bitcoin #btc #binance #cryptocurrency https://t.co/l6Y7iEHILK,1113154545184583681,2022-03-25 14:57:38+00:00,
14,1507371132760240131,"RT @Nur_ggwp_69: @Madonna @moonpay Doing small jobs well will train us to be able to complete big jobs perfectly. 
#SKUY @sekuyaofficial #M…",890101309,2022-03-25 14:57:38+00:00,
15,1507371132403564544,Come in now and don't BE LATE #xrp #bitcoin #cryptocurrency #binance https://t.co/hZoUaFn3pH,1489024018070056960,2022-03-25 14:57:38+00:00,
16,1507371131820560384,Come in now and don't BE LATE #xrp #bitcoin #cryptocurrency #binance https://t.co/OoIyClzJWx,120603702,2022-03-25 14:57:38+00:00,
17,1507371131740717061,RT @MMCrypto: The year is 2030. You’ve slept in a coma for 8 years. Bitcoin is at $5 Million. What’s the first thing that you do?,1482578361130307588,2022-03-25 14:57:38+00:00,
18,1507371131333980166,@Madonna @moonpay https://t.co/qIE1qJRT6A #Dogekoi #doge #NFTs #PolygonNFTs #altcoin #art #SOL #Web3 #dogecoin #NFTCommmunity #DogecoinArmy #Crypto #NFTartists #NFTdrop #nftart #NFTCommunity #ElonMusk #ETH #Bitcoin #nft #NFTProject #NFTartist #PolygonNFT #NFTCollection #BTC #blockchain #Polygon,1084262311534256130,2022-03-25 14:57:37+00:00,
